name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
White Palace Hotel,"Uttara, Dhaka","BDT 4,945",3,Good,125,7.9,-1,8.7,8,8.1,8,7.6
White Park Hotel & Suites,Chittagong,"BDT 3,433",0,Good,23,7.1,8.1,8.2,6.3,-1,-1,-1
Hotel Bengal Canary Park,"Gulshan, Dhaka","BDT 5,281",4,Good,35,7.5,8.1,7.5,7.4,7.6,6.9,8.1
Hotel The Cox Today,Cox's Bazar,"BDT 6,831",5,Review score,21,6.2,7.1,6.8,6.3,6.4,-1,-1
Bandor Hotel,Bāndarban,"BDT 110,750",5,Review score,0,0,-1,-1,-1,-1,-1,-1
Almas Hotel Sylhet,Debpur,"BDT 2,769",0,Review score,3,4.7,6.7,-1,-1,-1,-1,-1
HOTEL HERITAGE,Chittagong,"BDT 1,216",2,Review score,141,6.6,6.6,6.7,6.9,7.3,7.4,7.3
Banorupa Kuakata hotel,Kuākāta,"BDT 2,711",0,Excellent,35,8.7,8.4,8.7,9.1,8.4,8.1,10
Homestay 2,Dhaka,BDT 886,0,Review score,9,6.9,7.2,8.1,-1,-1,-1,-1
Lakeshore Banani,"Gulshan, Dhaka","BDT 9,303",4,Good,69,7.9,8.9,8.2,8.8,8.7,7.9,8.6
UU Residential Hotel,Dhaka,"BDT 2,769",4,Review score,0,0,-1,-1,-1,-1,-1,-1
Paragon Hotel and Resort,Sreemangal,"BDT 13,954",3,Very Good,4,8.5,8.1,8.1,9.4,-1,-1,-1
Hotel Sea Crown,Cox's Bazar,"BDT 5,537",3,Good,459,7,7.4,7.5,7.1,9.1,8,-1
Hotel Shopno Nibash,Dhaka,"BDT 1,844",3,Review score,16,6.6,7.2,7.5,7.5,7.2,8.5,2.5
Hotel Suite Palace Dhaka,Dhaka,"BDT 2,879",3,Good,20,7.4,7,7.2,6.7,7,7.5,5
Taz Garden House,"Uttara, Dhaka","BDT 2,104",2,Very Good,132,8.1,7.9,7.9,8.2,8.1,8.8,-1
Affordable AC Room With Shared Bathroom in Naya Paltan Free WIFI,Dhaka,BDT 736,0,Good,17,7.1,7.4,7.5,7.7,-1,-1,-1
"Crowne Plaza Dhaka Gulshan, an IHG Hotel","Gulshan, Dhaka","BDT 14,287",5,Very Good,307,8.3,-1,9,8.3,8.8,8.7,7.8
"Crowne Plaza Dhaka Gulshan, an IHG Hotel","Gulshan, Dhaka","BDT 15,616",5,Very Good,307,8.3,-1,9,8.3,8.8,8.7,7.8
Golden Tulip The Grandmark Dhaka,"Gulshan, Dhaka","BDT 8,303",4,Excellent,55,8.7,-1,9.1,8.6,8.8,9,8.2
Jatra Flagship Dhaka Lake View,"Gulshan, Dhaka","BDT 6,406",4,Excellent,343,8.8,-1,9.5,8.5,9.2,9.1,8.8
Hotel Air Inn Ltd - Airport View,"Uttara, Dhaka","BDT 3,077",3,Review score,142,6.5,-1,7.5,6.9,7.2,7.3,6.8
Hotel West Valley Dhaka,Dhaka,"BDT 3,322",3,Wonderful,15,9.1,9.3,9.5,8.8,9.3,5,-1
The Shahin Residence,Dhaka,"BDT 2,539",2,Very Good,65,8.1,-1,8.7,8.1,8.8,8.2,7.7
The Zabeer Jashore,Jessore,"BDT 8,838",4,Good,23,7.5,8.2,8,7,8.6,10,-1
Bay Marina Cox's Bazar,Kelātali,"BDT 11,075",3,Review score,0,0,-1,-1,-1,-1,-1,-1
4 Beds Condo Holiday Home in Bashundhara/Dhaka,Dhaka,"BDT 5,194",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Private Room rent daily in Mirpur,"Mirpur, Senpāra Parbata","BDT 1,789",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Bengal Blueberry,"Gulshan, Dhaka","BDT 8,501",4,Very Good,69,8,-1,8.9,8.4,8.8,8.5,7.8
Hotel Victory - Best in City Center,Dhaka,"BDT 3,524",3,Good,54,7.7,8.2,7.9,7.9,7.5,7.5,8.6
Royal Park Residence Hotel,"Gulshan, Dhaka","BDT 9,691",4,Very Good,71,8.1,-1,8.9,8,8.4,8.3,7.8
Rafflesia Serviced Apartments,"Gulshan, Dhaka","BDT 7,752",0,Very Good,56,8.2,8.9,8.3,8.6,8.4,8.5,9
Hotel Asia,Cox's Bazar,BDT 997,1,Review score,80,4.6,5.4,5.3,5.7,4.8,6.4,-1
Ocean Paradise Hotel and Resort,Cox's Bazar,"BDT 6,645",5,Good,5,7.4,7.5,8,7,9,2.5,-1
Hotel Garden City,Barpāra,"BDT 1,661",0,Review score,4,4,5.8,-1,-1,-1,-1,-1
Hotel Sea Shine,Cox's Bazar,"BDT 1,661",0,Review score,171,4.7,5.5,7.6,5.8,-1,-1,-1
Hotel Royal Inn,"Uttara, Dhaka","BDT 2,517",3,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Rongdhanu Residential,Dhaka,"BDT 1,152",2,Review score,32,6.8,7.3,7.3,7.7,7.6,10,-1
Hotel Madina International হোটেল মদিনা ইন্টা: (আবাসিক),Dhaka,"BDT 1,107",0,Review score,6,3,7.5,-1,-1,-1,-1,-1
Hotel Seven Star,Dhaka,"BDT 1,772",1,Review score,177,5.9,6.4,6.5,6.3,6,5.5,-1
Hotel Sarina,"Gulshan, Dhaka","BDT 17,946",5,Good,401,7.6,-1,8.4,7.8,8.1,8.2,7.6
Short stay service apartment,Dhaka,"BDT 1,157",0,Good,96,7.6,8,8,7.8,7.6,8.1,-1
The Alina Hotel Near Railway Station,Chittagong,"BDT 2,769",3,Review score,16,6,6.5,6.2,5.3,7.9,5,-1
The Alina Hotel Near Railway Station,Chittagong,"BDT 2,769",3,Review score,16,6,6.5,6.2,5.3,7.9,5,-1
Hotel Sea Crown,Cox's Bazar,"BDT 2,990",3,Good,459,7,7.4,7.5,7.1,9.1,8,-1
HOTEL BLUE BIRD,"Uttara, Dhaka","BDT 1,993",3,Review score,384,5.7,6.4,6.4,6.5,6.3,7.8,6.9
Nitol Bay Resort,Kelātali,"BDT 6,479",3,Review score,1,1,5,2.5,2.5,2.5,-1,-1
Hotel Gulshan Lake View,"Gulshan, Dhaka","BDT 3,210",3,Review score,198,6,6.3,6.8,6.7,6.5,7.4,5
Hotel Suite Palace Dhaka,Dhaka,"BDT 2,879",3,Good,20,7.4,7,7.2,6.7,7,7.5,5
Orchid Business Hotel,Chittagong,"BDT 3,433",3,Review score,3,5.3,6.7,5,7.5,-1,-1,-1
Shaira Garden Hotel & Resorts,Nārāyanganj,"BDT 4,430",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Moon Nest,Dhoāpālong,"BDT 4,430",0,Very Good,21,8.3,7.2,-1,-1,-1,-1,-1
Green Peace,Bāimākānda,"BDT 5,537",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Anchorage The Residence,"Uttara, Dhaka","BDT 3,289",4,Review score,32,6.4,7.7,7.1,6.8,6.6,6.7,7.3
Pan Pacific Sonargaon Dhaka,Dhaka,"BDT 12,625",5,Good,266,7.7,7.7,8.1,8.2,7.3,8.4,7.6
W Hotel,Sylhet,"BDT 1,052",3,Good,26,7.2,7.7,7.4,7.3,7.2,7.5,8.3
Mohammadia Restaurant & Guest House 2,Dhaka,"BDT 1,661",0,Review score,6,6.2,6.7,6.7,7.9,-1,-1,-1
4 Beds Condo Holiday Home in Bashundhara/Dhaka,Dhaka,"BDT 5,194",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Hotel Padma Residential,Dhaka,"BDT 1,866",0,Review score,5,6.8,7,-1,-1,-1,-1,-1
Paradise Palace,Joār Sāhāra,"BDT 2,769",0,Review score,0,0,-1,-1,-1,-1,-1,-1
Richmond Hotel & Suites,"Uttara, Dhaka","BDT 2,613",3,Review score,569,5.8,7.2,6.3,6.5,6.4,6.3,8
Radisson blu Dhaka Water Garden,Dhaka,"BDT 18,274",5,Good,500,7,-1,7.7,7.4,7.8,7.8,6.6
Hotel Green Castle,Rāngāmāti,"BDT 1,218",0,Good,6,7,8.8,-1,-1,-1,-1,-1
Contemporary Heights Hotel and Apartments,Dhaka,"BDT 3,365",4,Review score,199,5.7,6.4,6.6,6.1,7.4,5.5,-1
Park Hyatt Dhaka,"Gulshan, Dhaka","BDT 3,433",3,Review score,27,6.5,6.5,7.3,6.9,6.9,8,6.9
