name,city,price,stars,rating_text,num_reviews,total_rating,staff,facilities,cleanliness,comfort,value_for_money,location_rating
Cox Beach Resort,Cox's Bazar,1772,0,None,33,6,7.2,,,,,
Rose View Hotel,Sylhet,6280,5,None,100,6.7,7.6,7.1,7.2,7.3,6.5,8
Hotel Nandini,Dhaka,5150,3,None,36,6.9,7.8,8,8,7.3,8.1,10
Shahjadi Resort,Cox's Bazar,1661,0,None,13,4,6,7.1,10,,,
HANSA- A Premium Residence,Dhaka,12182,4,Very Good,19,8,,9.2,8.7,8.8,8.8,7.9
Unique Regency Dhaka,Dhaka,7177,4,None,16,6.8,8.4,7.9,8.8,,,
Hotel Golden Hill,Cox's Bazar,3101,0,None,50,5.9,7,,,,,
Maple Crest Service Apartment,Dhaka,2523,0,Good,12,7.8,7.5,9.4,,,,
Garden Residents,Dhaka,2589,3,Good,100,7,7.3,7.5,7.5,7.3,8.2,7.3
Hotel Singapore Mirpur 10,Dhaka,1903,0,None,24,4.8,5.1,7,5,,,
Hotel Amir's Residence,Dhaka,2326,0,None,12,6,6.3,6.4,5,,,
Hotel Progati Inn Ltd.,Dhaka,3987,0,None,16,6.1,5.9,7.3,8.8,,,
HOTEL LAKE CASTLE' Diplomatic Zone,Dhaka,8011,4,Very Good,66,8,7.7,8.2,8.4,7.9,9,8.4
Hotel GM Palace,Chittagong,1218,0,None,22,3.2,5.2,,,,,
Hotel Regal Palace,Chittagong,1218,1,None,15,3.9,5.2,5.5,5.2,5.3,4.2,
Muscat Holiday Resort,Cox's Bazar,1661,3,None,101,6.4,7.7,7.5,7.4,6.9,7.5,
Prime Park Hotel,Cox's Bazar,3655,3,Good,168,7.3,8.4,7.6,7.9,8,7.8,6.7
Hotel Belmond City,Chittagong,1218,0,None,20,4.8,6,,,,,
Century Park Residence,Dhaka,4236,4,None,61,5.5,5.9,6,5.6,7.9,7,
Ascott The Residence Dhaka,Dhaka,9031,3,Excellent,16,8.6,8.1,9.1,8.8,8.6,9.1,8.1
Memento Residence,Dhaka,3190,3,None,37,6.7,7.1,7.3,6.9,7.5,8.8,
La Vista Hotel,Sylhet,2093,3,None,29,6.1,6.5,6.3,6.5,6.3,7.9,6.3
The Zabeer Dhaka,Dhaka,7600,3,Good,26,7.8,8.7,8.8,8.1,8.8,,
Asian SR Hotel,Chittagong,3322,2,None,14,6.5,7,7.3,7.3,7.9,5,
Hotel Supreme,Sylhet,2163,3,None,114,6.5,7.3,7.4,7.1,7.9,7,
Ur Homestay Lake Passion,Dhaka,2791,0,Good,13,7.2,7.9,7.5,8.7,,,
Platinum Hotel Ltd,Dhaka,2891,3,None,29,4.2,5.4,5.4,6.5,,,
Hotel Grand Faisal,Dhaka,2691,0,Good,22,7.4,,8.3,8.1,7.7,7.6,7.6
Hotel De Meridian Ltd,Dhaka,2549,2,Good,11,7.5,7.5,6.8,7.5,7.5,6.6,8.2
Praasad Paradise,Cox's Bazar,6423,3,None,32,6,6.2,6.2,5.4,8.7,7.5,
The Castle Inn,Dhaka,6313,4,Good,31,7.6,7.7,7.6,7.5,7.7,8.3,
Crown Palace Residence,Dhaka,3708,3,Good,21,7.1,7,8.5,8,7.6,8,8.1
The Parisian Homestay,Dhaka,2215,0,Good,84,7.3,8.1,7.5,8.8,6.5,,
Hotel Royal Palace Pvt Ltd,Dhaka,2368,3,None,21,5.7,6.3,6.5,5.9,7.4,,
Hotel Highgarden,Dhaka,6707,3,Good,27,7.7,8.7,8.6,7.7,8.4,8,
Hotel Vista Bay,Cox's Bazar,3101,0,None,33,6.3,6.7,7.6,6.3,,,
Marry House,Dhaka,2165,0,None,14,4.7,7.1,,,,,
Hotel Crown City,Chittagong,2547,0,None,17,5.6,8,,,,,
